n,a,dilation(SCT(n, a))
4,1,1.4142135624
5,1,1.2360679775
6,1,1.3660254038
7,1,1.3351256037
8,3,1.4142135624
9,2,1.3472963553
10,4,1.3968022467
11,3,1.4000893791
12,2,1.3836634940
13,3,1.3912131614
14,5,1.4053212843
15,3,1.4089770622
16,5,1.4092433667
17,4,1.4147286981
18,6,1.3893482095
19,7,1.4098828509
20,7,1.4142135624
21,5,1.4293809076
22,7,1.4088701134
23,8,1.4308143191
24,8,1.4258819634
25,9,1.4049792324
26,8,1.4221908813
27,10,1.4263442751
28,11,1.4161455606
29,10,1.4198663711
30,9,1.4318568199
31,11,1.4224422173
32,12,1.4160733118
33,11,1.4311114814
34,13,1.4178909924
35,12,1.4328840793
36,7,1.4292422435
37,12,1.4379426288
38,14,1.4130054823
39,13,1.4408272495
40,15,1.4201359064
41,16,1.4410431872
42,15,1.4222217969
43,16,1.4407681583
44,16,1.4287057422
45,17,1.4386796007
46,16,1.4308143191
47,18,1.4384506508
48,17,1.4356175357
49,18,1.4366987002
50,17,1.4368488546
51,19,1.4365051522
52,18,1.4412877412
53,20,1.4350145141
54,18,1.4420716262
55,20,1.4348487511
56,21,1.4382852841
57,21,1.4365927229
58,19,1.4458074460
59,21,1.4371482008
60,22,1.4390669069
61,22,1.4419646120
62,23,1.4357238923
63,24,1.4355293910
64,23,1.4442084085
65,25,1.4399191828
66,24,1.4336150075
67,25,1.4414585321
68,25,1.4337057151
69,26,1.4307885436
70,25,1.4388348853
71,27,1.4383897528
72,26,1.4381678969
73,27,1.4365967525
74,27,1.4421710830
75,28,1.4303603252
76,27,1.4420702342
77,29,1.4367419630
78,30,1.4435756372
79,29,1.4348160034
80,30,1.4425414378
81,30,1.4383672809
82,31,1.4421014286
83,30,1.4387567211
84,32,1.4411664538
85,31,1.4421427314
86,32,1.4407681583
87,31,1.4422602461
88,33,1.4399187827
89,32,1.4455019099
90,33,1.4395565396
91,34,1.4447552984
92,34,1.4387815229
93,35,1.4459970682
94,35,1.4390938947
95,33,1.4481994028
96,35,1.4393121119
97,36,1.4408331204
98,36,1.4422748823
99,37,1.4440722859
100,38,1.4412493001
101,37,1.4442541184
102,37,1.4451507836
103,38,1.4372654577
104,39,1.4422426369
105,39,1.4422182697
106,40,1.4399130983
107,39,1.4407010885
108,41,1.4448888484
109,40,1.4422062132
110,41,1.4389397114
111,40,1.4436266138
112,42,1.4385725851
113,43,1.4446481791
114,42,1.4421149396
115,44,1.4439675792
116,43,1.4373330831
117,44,1.4435756372
118,44,1.4397623322
119,45,1.4429415015
120,44,1.4399566559
121,46,1.4425761057
122,45,1.4423089127
123,46,1.4419838334
124,45,1.4423750608
125,47,1.4416423761
126,46,1.4446571501
127,47,1.4410879543
128,46,1.4446095994
129,48,1.4407681583
130,47,1.4468274085
131,49,1.4419748858
132,47,1.4466788893
133,49,1.4422330804
134,50,1.4436534831
135,50,1.4442860552
136,51,1.4477841362
137,50,1.4444352650
138,51,1.4441612679
139,51,1.4464316881
140,52,1.4422651864
141,53,1.4425979131
142,53,1.4463298413
143,54,1.4444304603
144,53,1.4415174616
145,54,1.4451374670
146,54,1.4423194546
147,55,1.4401000443
148,54,1.4437926020
149,56,1.4432776486
150,55,1.4443039857
151,56,1.4425193756
152,58,1.4447332632
153,57,1.4402435474
154,58,1.4438937502
155,58,1.4421419093
156,59,1.4435756372
157,58,1.4422454214
158,59,1.4434591207
159,59,1.4439858432
160,60,1.4428195550
161,59,1.4441245910
162,61,1.4423881205
163,60,1.4458240381
164,61,1.4421014286
165,60,1.4458909625
166,62,1.4416911689
167,61,1.4475522482
168,63,1.4421578125
169,63,1.4463799846
170,63,1.4423209150
171,64,1.4467068421
172,64,1.4439420421
173,65,1.4473799306
174,64,1.4440394343
175,65,1.4440746337
176,65,1.4456255953
177,66,1.4455549592
178,67,1.4440993134
179,66,1.4460061591
180,68,1.4470950407
181,67,1.4422511830
182,68,1.4448321461
183,68,1.4444325276
184,69,1.4431403918
185,68,1.4438900932
186,70,1.4461032036
187,71,1.4448721577
188,70,1.4427469724
189,71,1.4454788754
190,71,1.4421959635
191,72,1.4442098965
192,71,1.4445979114
193,73,1.4438415569
194,72,1.4423186438
195,73,1.4435756372
196,73,1.4437384495
197,74,1.4432225792
198,73,1.4438341002
199,75,1.4429676407
200,74,1.4452268788
201,75,1.4426289328
202,74,1.4452753647
203,76,1.4423843092
204,75,1.4466426230
205,76,1.4433588451
206,77,1.4459843277
207,77,1.4435879911
208,78,1.4473322066
209,78,1.4448929650
210,79,1.4470468075
211,78,1.4450168288
212,79,1.4450312423
213,79,1.4462981730
214,80,1.4464123965
215,79,1.4463793381
216,80,1.4456290234
217,80,1.4476383241
218,81,1.4440987356
219,82,1.4446243900
220,82,1.4454686002
221,83,1.4455515687
222,82,1.4438337965
223,83,1.4461875194
224,83,1.4449116809
225,84,1.4428922311
226,85,1.4451677624
227,85,1.4447198008
228,86,1.4443384873
229,85,1.4444581483
230,87,1.4458562808
231,86,1.4434494254
232,87,1.4438035297
233,87,1.4446207891
234,88,1.4435756372
235,87,1.4447351239
236,88,1.4450094890
237,88,1.4458874062
238,89,1.4430672191
239,88,1.4459671529
240,90,1.4427886522
241,89,1.4471012794
242,90,1.4434074715
243,89,1.4471484704
244,91,1.4434479438
245,92,1.4470468075
246,92,1.4445639666
247,93,1.4467426261
248,92,1.4446562582
249,93,1.4465015217
250,93,1.4457551886
251,94,1.4462072932
252,93,1.4458168214
253,94,1.4453508218
254,94,1.4468994381
255,95,1.4456892925
256,96,1.4451398125
